"comparison","status","error"
"CA1slmres_CA1slmcon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA1slmsus_CA1slmcon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA1slmsus_CA1slmres","ERROR","argument ""comparison_name"" is missing, with no default"
"CA1sores_CA1socon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA1sosus_CA1socon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA1sosus_CA1sores","ERROR","argument ""comparison_name"" is missing, with no default"
"CA1srres_CA1srcon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA1srsus_CA1srcon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA1srsus_CA1srres","ERROR","argument ""comparison_name"" is missing, with no default"
"CA2slmres_CA2slmcon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA2slmsus_CA2slmcon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA2slmsus_CA2slmres","ERROR","argument ""comparison_name"" is missing, with no default"
"CA2sores_CA2socon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA2sosus_CA2socon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA2sosus_CA2sores","ERROR","argument ""comparison_name"" is missing, with no default"
"CA2srres_CA2srcon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA2srsus_CA2srcon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA2srsus_CA2srres","ERROR","argument ""comparison_name"" is missing, with no default"
"CA3sores_CA3socon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA3sosus_CA3socon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA3sosus_CA3sores","ERROR","argument ""comparison_name"" is missing, with no default"
"CA3srres_CA3srcon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA3srsus_CA3srcon","ERROR","argument ""comparison_name"" is missing, with no default"
"CA3srsus_CA3srres","ERROR","argument ""comparison_name"" is missing, with no default"
"DGmores_DGmocon","ERROR","argument ""comparison_name"" is missing, with no default"
"DGmosus_DGmocon","ERROR","argument ""comparison_name"" is missing, with no default"
"DGmosus_DGmores","ERROR","argument ""comparison_name"" is missing, with no default"
"DGpores_DGpocon","ERROR","argument ""comparison_name"" is missing, with no default"
"DGposus_DGpocon","ERROR","argument ""comparison_name"" is missing, with no default"
"DGposus_DGpores","ERROR","argument ""comparison_name"" is missing, with no default"
